year,indicator,counts,n_items
2013,facebook,1100,1
2015,facebook,1223,1
2014,facebook,3077,1
2013,facebook,5764,1
2012,facebook,1,49203
2013,facebook,1,71774
2018,facebook,3,8787
2014,facebook,4,3144
2012,facebook,8,364
2015,facebook,8,1142
2018,facebook,9,436
2013,facebook,10,357
2015,facebook,10,709
2016,facebook,10,650
2018,facebook,10,317
2013,facebook,11,318
2016,facebook,11,468
2018,facebook,11,246
2013,facebook,12,234
2014,facebook,12,286
2014,facebook,13,222
2017,facebook,16,208
2012,facebook,17,68
2018,facebook,17,84
2013,facebook,18,104
2018,facebook,19,38
2014,facebook,22,58
2016,facebook,22,88
2012,facebook,24,36
2015,facebook,24,88
2017,facebook,24,59
2018,facebook,25,19
2012,facebook,26,26
2018,facebook,26,20
2015,facebook,27,53
2016,facebook,27,56
2018,facebook,27,18
2016,facebook,30,28
2014,facebook,32,33
2017,facebook,32,28
2017,facebook,33,31
2012,facebook,34,18
2013,facebook,34,20
2016,facebook,35,22
2013,facebook,36,21
2018,facebook,36,5
2018,facebook,37,6
2014,facebook,38,27
2012,facebook,39,15
2014,facebook,39,15
2014,facebook,40,14
2012,facebook,41,13
2017,facebook,41,23
2012,facebook,42,5
2015,facebook,43,26
2013,facebook,44,17
2014,facebook,46,12
2016,facebook,46,12
2017,facebook,48,4
2015,facebook,49,15
2018,facebook,50,4
2012,facebook,51,6
2018,facebook,51,1
2016,facebook,53,9
2014,facebook,55,11
2017,facebook,55,8
2014,facebook,56,12
2017,facebook,56,2
2017,facebook,57,9
2012,facebook,59,4
2015,facebook,59,8
2018,facebook,59,1
2015,facebook,60,9
2016,facebook,60,6
2014,facebook,62,2
2014,facebook,63,7
2016,facebook,64,4
2012,facebook,66,4
2014,facebook,66,5
2017,facebook,66,2
2015,facebook,67,6
2018,facebook,67,1
2012,facebook,68,1
2013,facebook,68,2
2015,facebook,68,5
2013,facebook,69,7
2015,facebook,69,2
2016,facebook,70,5
2013,facebook,71,4
2014,facebook,72,9
2012,facebook,73,1
2014,facebook,73,4
2017,facebook,73,2
2014,facebook,74,4
2015,facebook,74,5
2012,facebook,75,3
2018,facebook,75,2
2013,facebook,77,3
2016,facebook,77,4
2013,facebook,78,5
2018,facebook,78,1
2014,facebook,79,1
2017,facebook,80,6
2012,facebook,81,1
2017,facebook,81,2
2017,facebook,82,9
2015,facebook,83,5
2015,facebook,84,4
